Březolupy,592081,Uherské Hradiště,CZ0722,Zlínský kraj,CZ072,68713,49.121484,17.580451
Březová,537870,Karlovy Vary,CZ0412,Karlovarský kraj,CZ041,36001,50.197494,12.870986
Březová,560294,Sokolov,CZ0413,Karlovarský kraj,CZ041,35601,50.145752,12.643488
Březová,506451,Opava,CZ0805,Moravskoslezský kraj,CZ080,74744,49.791678,17.865664
Březová,531090,Beroun,CZ0202,Středočeský kraj,CZ020,26751,49.904184,13.883116
Březová,592099,Uherské Hradiště,CZ0722,Zlínský kraj,CZ072,68767,48.922188,17.742769
Březová,585131,Zlín,CZ0724,Zlínský kraj,CZ072,76315,48.923332,17.741218
Březová nad Svitavou,505145,Svitavy,CZ0533,Pardubický kraj,CZ053,56902,49.644277,16.518096
Březová-Oleško,599735,Praha-západ,CZ020A,Středočeský kraj,CZ020,25245,49.904148,14.411028
Březovice,599514,Mladá Boleslav,CZ0207,Středočeský kraj,CZ020,29424,50.470818,14.733711
Březské,595381,Žďár nad Sázavou,CZ0635,Kraj Vysočina,CZ063,59453,49.330018,16.238271
Březsko,589331,Prostějov,CZ0713,Olomoucký kraj,CZ071,79852,49.608693,16.892539
Březůvky,585149,Zlín,CZ0724,Zlínský kraj,CZ072,76345,49.153427,17.699728
Břežany,593842,Znojmo,CZ0647,Jihomoravský kraj,CZ064,67165,48.870023,16.341852
Břežany,541923,Klatovy,CZ0322,Plzeňský kraj,CZ032,34101,49.348864,13.617460
Břežany,565041,Rakovník,CZ020C,Středočeský kraj,CZ020,27034,50.006960,13.582896
Břežany I,533211,Kolín,CZ0204,Středočeský kraj,CZ020,28002,50.035026,15.079055
Břežany II,533220,Kolín,CZ0204,Středočeský kraj,CZ020,28201,50.093862,14.804403
Břidličná,597228,Bruntál,CZ0801,Moravskoslezský kraj,CZ080,79351,49.911767,17.371179
Bříství,537047,Nymburk,CZ0208,Středočeský kraj,CZ020,28915,50.134028,14.841845
Bříšťany,548855,Jičín,CZ0522,Královéhradecký kraj,CZ052,50801,50.316342,15.620923
Bříza,564648,Litoměřice,CZ0423,Ústecký kraj,CZ042,41301,50.360615,14.216366
Břvany,566063,Louny,CZ0424,Ústecký kraj,CZ042,44001,50.401253,13.721648
